,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
Abaum_0001,6167079.0,4403847.0,330375.0,192365.0,0.0,0.0,0.0,0.0,352417.0,0.0,0.0,0.0,0.0,472040.0,213540.0,202495.0,71.40896038464888,6167079.0,5974714.0,96.88,192365.0,3.12,Abaum_0001_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6167079.0,0.0,20-51,41.0,26.30448980841199,50.47128243370971,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,6172690,2144231,6172690.0,314807190,169667,311892133,0.9259817096299484,0.1598,0.8402,0.0,,
Abaum_0002,5730887.0,3956479.0,332288.0,233606.0,0.0,0.0,0.0,0.0,406844.0,0.0,0.0,0.0,0.0,460456.0,153518.0,187696.0,69.03781212227706,5730887.0,5497281.0,95.92,233606.0,4.08,Abaum_0002_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5730887.0,0.0,20-51,43.0,23.898423879877747,50.52997345786088,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,5735887,1992953,5735887.0,292530237,155954,289832810,0.9221019432599716,0.1319,0.8681,0.0,,
Abaum_0003,6071002.0,4420932.0,45340.0,221182.0,0.0,0.0,0.0,0.0,322476.0,0.0,0.0,0.0,0.0,655347.0,203769.0,201956.0,72.82046686856634,6071002.0,5849820.0,96.36,221182.0,3.64,Abaum_0003_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6071002.0,0.0,20-51,42.0,26.677440723753246,50.45634872134781,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,6075776,2160449,6075776.0,309864576,182657,306949424,0.9407825952973728,0.1465,0.8535,0.0,,
Abaum_0004,5664805.0,4094918.0,116138.0,157106.0,0.0,0.0,0.0,0.0,317658.0,0.0,0.0,0.0,0.0,649397.0,160883.0,168705.0,72.2870072314934,5664805.0,5507699.0,97.23,157106.0,2.77,Abaum_0004_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5664805.0,0.0,21-51,42.0,24.04177750682552,50.51878537743136,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,5669326,2011364,5669326.0,289135626,163691,286404708,0.9445110717694816,0.2957,0.7043,0.0,,
Abaum_0005,5583850.0,4054363.0,11765.0,145353.0,0.0,0.0,0.0,0.0,258047.0,0.0,0.0,0.0,0.0,776463.0,168520.0,169339.0,72.6087376988995,5583850.0,5438497.0,97.4,145353.0,2.6,Abaum_0005_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5583850.0,0.0,20-51,42.0,23.375051759771395,50.472741746286175,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,5588013,1998346,5588013.0,284988663,158880,282292257,0.9461450050734124,0.3194,0.6806,0.0,,
Abaum_0006,6248401.0,4454507.0,364564.0,139256.0,0.0,0.0,0.0,0.0,252906.0,0.0,0.0,0.0,0.0,683515.0,175511.0,178142.0,71.29035092338025,6248401.0,6109145.0,97.77,139256.0,2.23,Abaum_0006_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6248401.0,0.0,20-51,43.0,24.09827940032948,50.47822298856939,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,6253018,2244746,6253018.0,318903918,518471,315455209,1.0814257227156423,0.4092,0.5908,0.0,,
Abaum_0007,5980775.0,4310249.0,107952.0,166882.0,0.0,0.0,0.0,0.0,257437.0,0.0,0.0,0.0,0.0,757409.0,189105.0,191741.0,72.06840250636415,5980775.0,5813893.0,97.21,166882.0,2.79,Abaum_0007_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5980775.0,0.0,20-51,43.0,23.9343227236637,50.47476472530734,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,5985587,2109842,5985587.0,305264937,179891,302394321,0.9403687263303352,0.4578,0.5422,0.0,,
Abaum_0008,7026037.0,5342797.0,41484.0,214495.0,0.0,0.0,0.0,0.0,513911.0,0.0,0.0,0.0,0.0,425040.0,214293.0,274017.0,76.04282471043066,7026037.0,6811542.0,96.95,214495.0,3.05,Abaum_0008_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7026037.0,0.0,20-51,41.0,27.46671401399248,50.46758136912742,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,7031263,2532372,7031263.0,358594413,662049,354636536,1.103719649976811,0.1761,0.8239,0.0,,
Abaum_0009,6886904.0,5563183.0,31855.0,145244.0,0.0,0.0,0.0,0.0,43328.0,0.0,0.0,0.0,0.0,625874.0,234643.0,242777.0,80.77915707842014,6886904.0,6741660.0,97.89,145244.0,2.11,Abaum_0009_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6886904.0,0.0,20-40,41.0,24.653705524845023,39.44590747889037,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,6889504,2403516,6889504.0,275580160,416491,272028523,1.288785448125148,0.1459,0.8541,0.0,,
Abaum_0010,6031205.0,4894121.0,3901.0,100894.0,0.0,0.0,0.0,0.0,65588.0,0.0,0.0,0.0,0.0,495431.0,244456.0,226814.0,81.14665311492479,6031205.0,5930311.0,98.33,100894.0,1.67,Abaum_0010_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6031205.0,0.0,20-40,41.0,25.985192807739,39.49103769478902,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,6033115,2110892,6033115.0,241324600,323976,238252923,1.2728403983680072,0.1699,0.8301,0.0,,
Abaum_0011,8211152.0,6675645.0,15478.0,169013.0,0.0,0.0,0.0,0.0,61107.0,0.0,0.0,0.0,0.0,653408.0,347096.0,289405.0,81.29973723540861,8211152.0,8042139.0,97.94,169013.0,2.06,Abaum_0011_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8211152.0,0.0,20-40,41.0,22.539309869461924,39.49168849876363,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,8213576,2856649,8213576.0,328543040,436050,324366915,1.2711043886365694,0.1401,0.8599,0.0,,
Abaum_0012,5885252.0,4701529.0,37563.0,144919.0,0.0,0.0,0.0,0.0,51997.0,0.0,0.0,0.0,0.0,506115.0,238578.0,204551.0,79.88662167737253,5885252.0,5740333.0,97.54,144919.0,2.46,Abaum_0012_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5885252.0,0.0,20-40,39.0,25.93580187445848,39.45038190378254,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,5887129,2164951,5887129.0,235485160,450807,232197182,1.3962569870644927,0.1327,0.8673,0.0,,
Abaum_0013,10211175.0,8298145.0,11682.0,141279.0,0.0,0.0,0.0,0.0,207705.0,0.0,0.0,0.0,0.0,722135.0,432470.0,397759.0,81.26532940626323,10211175.0,10069896.0,98.62,141279.0,1.38,Abaum_0013_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10211175.0,0.0,20-40,39.0,17.84133498830002,39.47990030530277,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,10224760,3593792,10224760.0,408990400,270120,404048258,1.208376040122213,0.1404,0.8596,0.0,,
Abaum_0014,10001291.0,7958716.0,18832.0,153979.0,0.0,0.0,0.0,0.0,196902.0,0.0,0.0,0.0,0.0,970796.0,334977.0,367089.0,79.57688662393684,10001291.0,9847312.0,98.46,153979.0,1.54,Abaum_0014_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10001291.0,0.0,20-40,41.0,18.48261417661474,39.48133905912746,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,10013305,3561322,10013305.0,400532200,279313,395620227,1.2263615759232342,0.143,0.857,0.0,,
Abaum_0015,11483339.0,9235857.0,49589.0,231560.0,0.0,0.0,0.0,0.0,225186.0,0.0,0.0,0.0,0.0,901007.0,419346.0,420794.0,80.42832315583472,11483339.0,11251779.0,97.98,231560.0,2.02,Abaum_0015_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,11483339.0,0.0,20-40,41.0,17.984728193551994,39.50995202701932,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,11497353,4069730,11497353.0,459894120,300970,454258360,1.2254472833877503,0.1347,0.8653,0.0,,
Abaum_0016,7957513.0,6066326.0,344388.0,142414.0,0.0,0.0,0.0,0.0,155345.0,0.0,0.0,0.0,0.0,714063.0,269895.0,265082.0,76.23394394705984,7957513.0,7815099.0,98.21,142414.0,1.79,Abaum_0016_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7957513.0,0.0,20-40,41.0,20.532689772830967,39.47629014241007,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,7967297,2924482,7967297.0,318691880,662653,314216405,1.4043266493015134,0.1387,0.8613,0.0,,
Abaum_0017,8140949.0,6546309.0,841.0,361242.0,0.0,0.0,0.0,0.0,89298.0,0.0,0.0,0.0,0.0,757290.0,326707.0,59262.0,80.41211165921811,8140949.0,7779707.0,95.56,361242.0,4.44,Abaum_0017_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8140949.0,0.0,20-101,40.0,18.101506710137123,99.82202787414587,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,8149906,2797253,8149906.0,823140506,295282,819236785,0.4742472240820573,0.0697,0.9303,0.0,,
Abaum_0018,8593535.0,7260427.0,406.0,357678.0,0.0,0.0,0.0,0.0,128702.0,0.0,0.0,0.0,0.0,460659.0,267797.0,117866.0,84.48708244046252,8593535.0,8235857.0,95.84,357678.0,4.16,Abaum_0018_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8593535.0,0.0,20-101,40.0,19.735463742800512,99.63578922992691,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,8605186,3040526,8605186.0,869123786,2840581,862220366,0.7942965215313991,0.021,0.979,0.0,,
Abaum_0019,8999283.0,7671297.0,561.0,318426.0,0.0,0.0,0.0,0.0,136210.0,0.0,0.0,0.0,0.0,457376.0,290695.0,124718.0,85.24342439280997,8999283.0,8680857.0,96.46,318426.0,3.54,Abaum_0019_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8999283.0,0.0,20-101,41.0,17.368990434170566,99.79952691786669,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,9007788,3297483,9007788.0,909786588,357462,905154547,0.5091348961499529,0.03,0.97,0.0,,
Abaum_0020,7197863.0,5806637.0,661.0,275368.0,0.0,0.0,0.0,0.0,111388.0,0.0,0.0,0.0,0.0,492474.0,373800.0,137535.0,80.67167991388554,7197863.0,6922495.0,96.17,275368.0,3.83,Abaum_0020_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7197863.0,0.0,20-101,42.0,17.623995796500704,99.7811064200583,pass,pass,,pass,fail,pass,pass,warn,fail,warn,pass,7206303,2505437,7206303.0,727836603,2183824,722303376,0.7602292845939763,0.0853,0.9147,0.0,,
Abaum_0021,9039647.0,7473619.0,620.0,422366.0,0.0,0.0,0.0,0.0,101096.0,0.0,0.0,0.0,0.0,569327.0,375674.0,96945.0,82.67600493691845,9039647.0,8617281.0,95.33,422366.0,4.67,Abaum_0021_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9039647.0,0.0,20-101,39.0,20.133993414489325,99.66696265905072,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,9049935,3282578,9049935.0,914043435,298286,909479617,0.4992999047140467,0.0723,0.9277,0.0,,
Abaum_0022,9148310.0,7322636.0,791.0,346454.0,0.0,0.0,0.0,0.0,93920.0,0.0,0.0,0.0,0.0,955902.0,361031.0,67576.0,80.04359275101083,9148310.0,8801856.0,96.21,346454.0,3.79,Abaum_0022_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9148310.0,0.0,20-101,40.0,17.533892775092845,99.81988585869956,pass,pass,,pass,fail,fail,pass,warn,fail,warn,pass,9157777,3137426,9157777.0,924935477,343635,920528369,0.4764773445921137,0.0926,0.9074,0.0,,
Abaum_0023,8381866.0,6774784.0,520.0,313328.0,0.0,0.0,0.0,0.0,86119.0,0.0,0.0,0.0,0.0,812243.0,336324.0,58548.0,80.82667988249872,8381866.0,8068538.0,96.26,313328.0,3.74,Abaum_0023_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8381866.0,0.0,20-101,39.0,19.12990353911807,99.65470648182637,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,8389953,3184029,8389953.0,847385253,2189386,840941961,0.7603733929979072,0.0713,0.9287,0.0,,
Abaum_0024,8410010.0,6734840.0,826.0,366947.0,0.0,0.0,0.0,0.0,135893.0,0.0,0.0,0.0,0.0,585427.0,422866.0,163211.0,80.08123652647262,8410010.0,8043063.0,95.64,366947.0,4.36,Abaum_0024_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8410010.0,0.0,20-101,41.0,18.66666289404065,99.62462208725078,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,8422941,2922892,8422941.0,850717041,3070971,843751070,0.8188352488874148,0.0724,0.9276,0.0,,
Abaum_0025,8981315.0,7506859.0,668.0,365638.0,0.0,0.0,0.0,0.0,121552.0,0.0,0.0,0.0,0.0,515863.0,358928.0,111807.0,83.58307218931748,8981315.0,8615677.0,95.93,365638.0,4.07,Abaum_0025_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8981315.0,0.0,20-101,41.0,19.619346094698308,99.8066946766704,pass,pass,,pass,fail,pass,pass,warn,fail,warn,pass,8993692,3266100,8993692.0,908362892,304351,903821201,0.4999864085156839,0.0635,0.9365,0.0,,
Abaum_0026,8841279.0,7092675.0,966.0,423290.0,0.0,0.0,0.0,0.0,109713.0,0.0,0.0,0.0,0.0,804248.0,340932.0,69455.0,80.22227327064331,8841279.0,8417989.0,95.21,423290.0,4.79,Abaum_0026_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8841279.0,0.0,20-101,39.0,19.329826077817973,99.62272087556563,pass,pass,,pass,warn,warn,pass,warn,fail,warn,pass,8852076,3334213,8852076.0,894059676,2794265,886780036,0.8142230541666885,0.0866,0.9134,0.0,,
ERX1215168,24135754.0,18920148.0,381633.0,2176398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217248.0,424943.0,15384.0,78.39054044054309,24135754.0,21959356.0,90.98,2176398.0,9.02,ERX1215168_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,24135754.0,0.0,20-37,42.0,25.10390676998389,36.35752187397999,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,24450008,8950007,24450008.0,904650296,9408594,879387159,2.792585943065894,,,,,
ERX1215169,57706886.0,32696956.0,230544.0,19402582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500086.0,842619.0,34099.0,56.66040617752272,57706886.0,38304304.0,66.38,19402582.0,33.62,ERX1215169_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,57706886.0,0.0,20-37,43.0,78.95086157580673,36.43174842253661,pass,fail,fail,pass,fail,pass,fail,warn,pass,pass,pass,59076574,21331229,59076574.0,2185833238,23503572,2108583338,3.534116814450234,,,0.0,0.5,0.5
ERX1215170,14304343.0,11741134.0,1832.0,1410092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918627.0,222222.0,10436.0,82.08090368079121,14304343.0,12894251.0,90.14,1410092.0,9.86,ERX1215170_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,14304343.0,0.0,20-37,42.0,25.21758146851084,36.44894365298707,pass,pass,fail,pass,fail,pass,warn,warn,fail,warn,pass,14536963,5417926,14536963.0,537867631,979039,522383002,2.8788921488380104,,,,,
ERX1215171,27309354.0,21171064.0,3049.0,2597283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2736551.0,778132.0,23275.0,77.52312266339219,27309354.0,24712071.0,90.49,2597283.0,9.51,ERX1215171_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,27309354.0,0.0,20-37,42.0,8.749133251732259,36.47024162490259,pass,pass,fail,pass,fail,pass,warn,warn,fail,warn,pass,27550716,10157595,27550716.0,1019376492,1834694,996428030,2.2512253500152326,,,,,
ERX1215172,31903213.0,1401358.0,951.0,5096387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25363593.0,40544.0,380.0,4.392529366869725,31903213.0,26806826.0,84.03,5096387.0,15.97,ERX1215172_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,31903213.0,0.0,20-37,42.0,20.46711260437532,36.39345836420927,pass,pass,fail,pass,fail,pass,warn,warn,fail,warn,pass,32717426,12721572,32717426.0,1210544762,2705083,1164090772,3.837445046084136,,,0.0,0.0,1.0
ERX1215173,18168221.0,14514285.0,1179.0,1966173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196100.0,474762.0,15722.0,79.88831157436933,18168221.0,16202048.0,89.18,1966173.0,10.82,ERX1215173_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,18168221.0,0.0,20-37,43.0,20.085209659367923,36.47846935591547,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,18311222,6682450,18311222.0,677515214,1034412,663161420,2.1185936054861787,,,,,
ERX1221046,3176088.0,2276500.0,159441.0,503308.0,0.0,0.0,0.0,0.0,5442.0,0.0,0.0,0.0,0.0,124825.0,105094.0,1478.0,71.67622559576434,3176088.0,2672780.0,84.15,503308.0,15.85,ERX1221046_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,3176088.0,0.0,20-201,42.0,33.22811969290494,132.2348593615794,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,3183038,2862007,3183038.0,639790638,44800205,419983711,34.35607118089777,,,,,
ERX1221047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4479299,0,4479299.0,900339099,900339099,0,100.0,,,,,
ERX1221048,5496395.0,4057835.0,307400.0,773954.0,0.0,0.0,0.0,0.0,4079.0,0.0,0.0,0.0,0.0,185173.0,165675.0,2279.0,73.82720856124787,5496395.0,4722441.0,85.92,773954.0,14.08,ERX1221048_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5496395.0,0.0,20-201,42.0,25.85648690866979,134.6621421859237,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,5510363,5072979,5510363.0,1107582963,63062872,740415260,33.150356701541284,,,,,
ERX1221049,2135809.0,1492582.0,168973.0,335441.0,0.0,0.0,0.0,0.0,956.0,0.0,0.0,0.0,0.0,76661.0,60358.0,838.0,69.88368341925705,2135809.0,1800368.0,84.29,335441.0,15.71,ERX1221049_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,2135809.0,0.0,22-201,43.0,33.547889189501674,143.78760553963392,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,2140690,1903455,2140690.0,430278690,18590617,307395669,28.558937232053022,,,,,
ERX1221050,5858262.0,3932803.0,585892.0,1003776.0,0.0,0.0,0.0,0.0,3096.0,0.0,0.0,0.0,0.0,167753.0,162674.0,2268.0,67.13258983637127,5858262.0,4854486.0,82.87,1003776.0,17.13,ERX1221050_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5858262.0,0.0,20-201,44.0,27.283786968539964,137.19017210223782,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,5870390,5362097,5870390.0,1179948390,61591133,803739698,31.883487039632307,,,,,
ERX1221051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505448,0,2505448.0,503595048,503595048,0,100.0,,,,,
ERX1221052,4971338.0,2939912.0,637249.0,1094951.0,0.0,0.0,0.0,0.0,7616.0,0.0,0.0,0.0,0.0,165326.0,124536.0,1748.0,59.137238304858776,4971338.0,3876387.0,77.97,1094951.0,22.03,ERX1221052_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4971338.0,0.0,20-201,44.0,25.60493676951775,134.65582062615738,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,4977604,4582259,4977604.0,1000498404,38405133,669982242,33.03515134842734,,,,,
ERX1221053,3135563.0,2024263.0,288956.0,618728.0,0.0,0.0,0.0,0.0,3265.0,0.0,0.0,0.0,0.0,117892.0,81267.0,1192.0,64.55819895820942,3135563.0,2516835.0,80.27,618728.0,19.73,ERX1221053_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,3135563.0,0.0,20-201,43.0,34.72115325632091,133.70977843532407,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,3141059,2887693,3141059.0,631352859,38264432,419251339,33.59476669448328,,,,,
